"Country Name","Country Code","Indicator Name","Indicator Code","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Afghanistan","AFG","Administrative Data for CRVS (WDI)","RAW.D4.2.3.CRVS","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Administrative Data for Education (UNESCO) on nationally-representative learning assessment","RAW.D4.2.2.EDU.NAS","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Administrative Data for Education (UNESCO) on out-of-school rate","RAW.D4.2.2.EDU.OOS","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Administrative Data for Education (UNESCO) on participation rate in organized learning","RAW.D4.2.2.EDU.ORGL","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Administrative Data for Labor Admin (ILO) on employment office records","RAW.D4.2.4.LBR.EMPOFF","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Administrative Data for Labor Admin (ILO) on insurance records","RAW.D4.2.4.LBR.INSUR","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Administrative Data for Labor Admin (ILO) on labor inspectorate records","RAW.D4.2.4.LBR.INSP","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Administrative Data for Labor Admin (ILO) on other administrative records","RAW.D4.2.4.LBR.OTHER","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Administrative Data for Labor Admin (ILO) on records of employers' organizations","RAW.D4.2.4.LBR.EMPORG","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Administrative Data for Labor Admin (ILO) on records of workers' organizations","RAW.D4.2.4.LBR.WRKORG","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Administrative Data for Social Protection Admin (ASPIRE)","RAW.D4.2.1.SPL","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Agriculture census (Availability score over 20 years)","SPI.D4.1.2.AGRI","","","","","","","","","","","","","0","0","0","0",
"Afghanistan","AFG","Agriculture survey (Availability score over 10 years)","SPI.D4.1.5.AGSVY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"Afghanistan","AFG","Availability of Comparable Poverty headcount ratio at $1.90 a day (5 year moving average)","SPI.D1.5.POV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"Afghanistan","AFG","Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME  (5 year moving average)","SPI.D1.5.CHLD.MORT","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"Afghanistan","AFG","Business process","SPI.D5.2.10.GSBP","","","","","","","","","","","","","0","0","0","0",
"Afghanistan","AFG","Business/establishment census (Availability score over 20 years)","SPI.D4.1.3.BIZZ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"Afghanistan","AFG","Business/establishment survey (Availability score over 10 years)","SPI.D4.1.8.BZSVY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"Afghanistan","AFG","Central government accounting status","SPI.D5.2.7.CGOV","","","","","","","","","","","","","0.5","0.5","0.5","0.5",
